1;Podal Zdeněk;67;SPD;SPD;poslanec;Hradec Králové;0;0
2;Pajgerová Andrea;54;SPD;SPD;živnostnice v oblasti účetnictví a daňového porad.;Hradec Králové;0;0
3;Pakandlová Markéta JUDr.;59;SPD;BEZPP;advokátka;Hradec Králové;0;0
4;Schubert Dickfeld Ivana;48;SPD;SPD;spisovatelka;Trutnov;0;0
5;Kotyzová Eva;48;SPD;SPD;pedagožka v mateřské škole;Jičín;0;0
6;Lesenská Vladimíra Ing.;56;SPD;BEZPP;ředitelka kontaktního pracoviště Úřadu práce;Týniště nad Orlicí;0;0
7;Janiga Jiří Ing.;61;SPD;SPD;strojník;Batňovice;0;0
8;Zajíc Jaroslav Mgr.;51;SPD;SPD;technik plynových zařízení;Miletín;0;0
9;Abraham Roman Ing.;65;SPD;SPD;lesní taxátor;Hradec Králové;0;0
10;Cvrček Radek MUDr.;44;SPD;SPD;praktický lékař;Vernéřovice;0;0
11;Slavka Michal;47;SPD;SPD;nástrojař;Trutnov;0;0
12;Salay René;52;SPD;SPD;servisní technik;Česká Skalice;0;0
13;Motyčka Jiří Ing.;43;SPD;SPD;vedoucí provozu odpadového hospodářství;Nová Ves;0;0
14;Marinica Daneš Mgr.;54;SPD;SPD;obchodní manažer;Nové Město nad Metují;0;0
15;Horák Petr;48;SPD;BEZPP;manažer obchodní společnosti;Hradec Králové;0;0
16;Matoušová Jaroslava Bc.;63;SPD;SPD;vedoucí pracovnice Celní správy ČR;Dvůr Králové nad Labem;0;0
17;Pelc Norbert;51;SPD;SPD;řidič;Malé Svatoňovice;0;0
18;Grygarová Lenka;64;SPD;SPD;učitelka;Vrchlabí;0;0
19;Homolka František;35;SPD;SPD;skladník;Rychnovek;0;0
20;Drahuská Zografia;60;SPD;SPD;pracovnice sociálních služeb;Trutnov;0;0
21;Čapek Jan;39;SPD;SPD;manažer prodeje;Hradec Králové;0;0
22;Pisch Jindřich;61;SPD;SPD;truhlář;Jaroměř;0;0
23;Bartoň Jiří;53;SPD;SPD;svářeč;Česká Skalice;0;0
24;Prokop Radek;53;SPD;BEZPP;technik strojírenství;Hradec Králové;0;0
25;Sálová Alžběta Mgr.;32;SPD;BEZPP;manažerka lidských zdrojů;Hradec Králové;0;0
26;Němcová Irena Ing.;37;SPD;SPD;asistentka pedagoga;Hradec Králové;0;0
27;Hreňo Jan;62;SPD;SPD;řidič;Slatina nad Úpou;0;0
28;Hemrlík Jiří;66;SPD;SPD;řidič;Hradec Králové;0;0
29;Voňka Jaroslav;51;SPD;SPD;pracovník výživy v ZOO;Vilantice;0;0
30;Nývlt Pavel;48;SPD;SPD;zástupce vedoucího výkupu surovin;Česká Skalice;0;0
31;Šitavanc Alžběta;50;SPD;SPD;operátorka výroby;Nové Město nad Metují;0;0
32;Rychtera Filip;24;SPD;SPD;grafik;Jaroměř;0;0
33;Vítek Jan;73;SPD;SPD;strojník;Hradec Králové;0;0
34;Baselová Monika;48;SPD;BEZPP;operátorka;Stěžery;0;0
35;Fialová Vašatová Pavla;44;SPD;SPD;administrativní pracovnice v obchodě;Jaroměř;0;0
36;Tuček Tomáš;41;SPD;SPD;automechanik;Náchod;0;0
37;Riedl Tomáš;44;SPD;SPD;tesař;Úpice;0;0
38;Nová Eva;76;SPD;SPD;učitelka;Hradec Králové;0;0
39;Stoklásek Michal;41;SPD;SPD;vedoucí skladu;Hradec Králové;0;0
40;Bryndzová Iveta;34;SPD;BEZPP;operátorka výroby;Rychnovek;0;0
41;Pavlová Eva Karolína;69;SPD;BEZPP;úřednice ve státní správě;Hradec Králové;0;0
42;David Jan Ing.;69;SPD;BEZPP;ekonom;Hradec Králové;0;0
43;Dudis Roman;60;SPD;BEZPP;operátor výroby;Trutnov;0;0
44;Šitavanc Pavel;55;SPD;BEZPP;operátor výroby;Nové Město nad Metují;0;0
45;Schejbalová Martina;31;SPD;BEZPP;prodavačka;Hradec Králové;0;0
46;Klikar Martin;49;SPD;BEZPP;operátor výroby;Trutnov;0;0
47;Rýdlová Jiříková Jitka;53;SPD;SPD;živnostnice;Velký Vřešťov;0;0
48;Jančula Pavel;48;SPD;BEZPP;operátor výroby;Lánov;0;0
49;Kalous Jan;31;SPD;BEZPP;operátor výroby;Nové Město nad Metují;0;0
50;Kovaříková Ludmila;79;SPD;BEZPP;veterinární laborantka;Hradec Králové;0;0
