1;Bulíček Pavel Bc.;32;Piráti;Piráti;zastupitel města HK, dobrovolný hasič, SW analytik;Hradec Králové;0;0
2;Valenta Adam;37;Piráti;Piráti;podnikatel v IT;Trutnov;0;0
3;Vágner Dostálová Martina;47;Piráti;BEZPP;charitní pracovník;Trutnov;0;0
4;Dohnal Aleš;31;Piráti;Piráti;datový analytik, zastupitel města Hradec Králové;Hradec Králové;0;0
5;Štěpánek Arnošt Mgr. MBA;52;Piráti;Piráti;týmový kouč, lektor, pedagog;Hradec Králové;0;0
6;Poláček Petr Mgr.;40;Piráti;Piráti;OSVČ, restaurátor, pedagog;Dobruška;0;0
7;Patková Jana Mgr.;29;Piráti;Piráti;marketingový specialista;Hradec Králové;0;0
8;Hoder Jan;36;Piráti;Piráti;právník;Opočno;0;0
9;Dvorský Jaroslav Mgr.;57;Piráti;BEZPP;učitel gymnázia a SOŠ, ZUŠ;Malé Svatoňovice;0;0
10;Čalovka Ondřej Mgr.;39;Piráti;Piráti;adiktolog, soc. pracovník;Trutnov;0;0
11;Kořínek Dušan Ing. Ph.D.;56;Piráti;Piráti;obchodní ředitel;Češov;0;0
12;Unger Tomáš;36;Piráti;Piráti;OSVČ;Náchod;0;0
13;Plch Dušan;47;Piráti;Piráti;IT specialista;Hradec Králové;0;0
14;Čepelka Michal MgA. DiS.;34;Piráti;Piráti;grafický designér;Broumov;0;0
15;Štipl Stanislav Ing.;31;Piráti;Piráti;programátor;Hradec Králové;0;0
16;Zeman Jan;41;Piráti;Piráti;učitel;Hradec Králové;0;0
17;Eichler Tomáš Mgr.;39;Piráti;BEZPP;místostarosta města Trutnov;Trutnov;0;0
18;Ungerová Anna MVDr.;33;Piráti;Piráti;veterinární lékařka;Kramolna;0;0
19;Hůlková Kateřina Bc.;33;Piráti;Piráti;grafický designer;Trutnov;0;0
20;Špaček Lubomír;47;Piráti;Piráti;podnikatel v telekomunikacích;Hradec Králové;0;0
21;Vacek Pavel doc. PhDr. Ph.D.;72;Piráti;BEZPP;vysokoškolský pedagog;Hradec Králové;0;0
22;Jeništa Petr;43;Piráti;BEZPP;táta, zeměměřič, vesničan, starosta;Velká Jesenice;0;0
23;Hladíková Barbora Mgr. Bc.;35;Piráti;Piráti;právník;Dvůr Králové nad Labem;0;0
24;Prouza Jiří Mgr.;37;Piráti;Piráti;učitel;Dvůr Králové nad Labem;0;0
25;Petera Viktor Ing.;42;Piráti;Piráti;stavební technik;Dvůr Králové nad Labem;0;0
26;Kubica Kamil;22;Piráti;Piráti;student práva a politologie;Hradec Králové;0;0
27;Ficenec Karel;38;Piráti;Piráti;skladník;Byzhradec;0;0
28;Králová Věra;33;Piráti;Piráti;příjmový logistik;Kostelec nad Orlicí;0;0
29;Hanušová Markéta DiS.;34;Piráti;BEZPP;tisková mluvčí a PR Divadla pod Palmovkou;Heřmánkovice;0;0
30;Svoboda Štěpán;19;Piráti;Piráti;student;Hostinné;0;0
31;Pastyřík Jiří Ing.;67;Piráti;BEZPP;OSVČ;Jičín;0;0
32;Holler Jakub;19;Piráti;BEZPP;student;Opočno;0;0
33;Rotter Michal;42;Piráti;Piráti;vedoucí oddělení elektro;Trutnov;0;0
34;Vašák Vojtěch Ing.;26;Piráti;BEZPP;absolvent Evropské integrace;Broumov;0;0
35;Pfeifer David Bc.;28;Piráti;BEZPP;IT manager;Náchod;0;0
36;Skoupilová Veronika Bc.;24;Piráti;Piráti;studentka;Hradec Králové;0;0
37;Dědek Michal Mgr.;39;Piráti;BEZPP;učitel;Trutnov;0;0
38;Chadim Tomáš Bc.;44;Piráti;BEZPP;vedoucí přípravy výroby;Opočno;0;0
39;Blahušová Veronika;36;Piráti;BEZPP;pečující osoba;Liberk;0;0
40;Khol Rudolf Mgr.;40;Piráti;BEZPP;sanitář;Káranice;0;0
41;Macháčková Lucie;40;Piráti;BEZPP;OSVČ;Hradec Králové;0;0
42;Vrána Jan;34;Piráti;BEZPP;projektant staveb;Lukavice;0;0
43;Frýželka Lukáš;38;Piráti;Piráti;operátor výroby;Dobruška;0;0
44;Macháček Lukáš Bc.;41;Piráti;BEZPP;software architect;Val;0;0
45;Šanda Vít DiS.;26;Piráti;BEZPP;Java developer;Smidary;0;0
46;Valentová Alena;37;Piráti;BEZPP;grafička, designérka, malířka;Trutnov;0;0
47;Mikuláš Pavel;40;Piráti;BEZPP;OSVČ;Hradec Králové;0;0
48;Pernica Tomáš;38;Piráti;Piráti;OSVČ;Stárkov;0;0
49;Čapek Karel Mgr.;42;Piráti;BEZPP;učitel;Trutnov;0;0
50;Možnarová Lucie;33;Piráti;BEZPP;taxikářka;Liberk;0;0
