1;Štěpán Jiří PhDr. Ph.D.;41;ČSSD;ČSSD;hejtman kraje, vysokoškolský pedagog;Hradec Králové;0;0
2;Hanousek Martin Mgr.;37;Zelení;Zelení;náměstek primátora HK a krajinný ekolog;Hradec Králové;0;0
3;Hečko Pavel Bc.;53;ČSSD;ČSSD;starosta Meziměstí, radní kraje;Meziměstí;0;0
4;Richterová Karin Bc.;41;Zelení;Zelení;lektorka a metodička vzdělávání pro budoucnost;Hradec Králové;0;0
5;Masáková Hana Ing. MBA;45;ČSSD;ČSSD;starostka Kopidlna, krajská zastupitelka;Kopidlno;0;0
6;Sobotka Petr Mgr.;46;Zelení;Zelení;zastupitel Trutnova, politolog;Trutnov;0;0
7;Rudolfský Stanislav;61;ČSSD;HDP;radní Jaroměře, vinař;Jaroměř;0;0
8;Kulichová Barbora Ing. DiS.;26;Zelení;Zelení;flétnistka, učitelka v základní umělecké škole;Horní Maršov;0;0
9;Mencl František brig. gen. Ing.;65;ČSSD;BEZPP;ředitel Hasičského záchranného sboru KHK;Hradec Králové;0;0
10;Málek Štěpán akad. soch. Mgr.;53;Zelení;BEZPP;sochař, výtvarník, pedagog a pankáč;Nový Bydžov;0;0
11;Sixta Miroslav;54;Zelení;BEZPP;místostarosta Dobrušky;Dobruška;0;0
12;Hladíková Sofia Mgr.;58;Zelení;Zelení;ředitelka ZŠ a MŠ Kocbeře;Dvůr Králové nad Labem;0;0
13;Čtvrtečka Jan Ing.;41;ČSSD;ČSSD;místostarosta Náchoda;Náchod;0;0
14;Záruba Adam Ing. Ph.D.;41;Zelení;BEZPP;člen rady města Hradec Králové;Hradec Králové;0;0
15;Šubr Pavel Ing.;61;ČSSD;BEZPP;starosta Lázní Bělohrad;Lázně Bělohrad;0;0
16;Šichová Štěpánka Mgr.;43;Zelení;BEZPP;jednatelka Společnosti česko-německého porozumění;Trutnov;0;0
17;Nýč Marek Mgr.;32;ČSSD;BEZPP;starosta Budčevsi, policista;Budčeves;0;0
18;Číp David;41;Zelení;Zelení;vedoucí záchranné stanice pro handicapovaná zvíř.;Vítězná;0;0
19;Hudousek Petr Bc.;50;ČSSD;BEZPP;starosta Rokytnice v Orlických horách;Rokytnice v Orlických horách;0;0
20;Klímová Soňa Mgr.;61;Zelení;BEZPP;majitelka a ředitelka lesnické firmy;Kvasiny;0;0
21;Vaňková Edita Mgr.;61;ČSSD;ČSSD;ředitelka Základní školy Podharť, Dvůr Králové n/L;Dvůr Králové nad Labem;0;0
22;Zvoníček Leoš Bc.;44;Zelení;Zelení;oční optik - optometrista, zastupitel Vrchlabí;Vrchlabí;0;0
23;Orsák Jiří;74;ČSSD;BEZPP;starosta Krajského sdružení hasičů KHK;Malé Svatoňovice;0;0
24;Šnircová Ivana Ing.;36;Zelení;Zelení;manažerka v biotechnologii;Trutnov;0;0
25;Birke Jan;51;ČSSD;ČSSD;starosta Náchoda, poslanec Parlamentu ČR;Náchod;0;0
26;Králíček Ivo RNDr. PhDr. Ph.D.;47;Zelení;BEZPP;zastupitel Hradce Králové, SŠ a VŠ učitel;Hradec Králové;0;0
27;Hásek Roman Mgr. Bc. Ph.D.;53;ČSSD;ČSSD;ředitel VOŠ a SZŠ Trutnov;Červený Kostelec;0;0
28;Janigová Irena Mgr.;39;Zelení;BEZPP;učitelka v základní umělecké škole;Trutnov;0;0
29;Magnusek Tomáš Bc.;36;ČSSD;BEZPP;režisér, radní Náchoda;Náchod;0;0
30;Zajíc Jiří MUDr.;58;Zelení;BEZPP;vedoucí lékař JIP ve Fakultní nemocnici HK;Hradec Králové;0;0
31;Škrabalová Šárka;53;ČSSD;BEZPP;starostka Opočna;Opočno;0;0
32;Steinerová Eva;63;ČSSD;BEZPP;starostka Okresního sdružení hasičů Jičín;Újezd pod Troskami;0;0
33;Franc Jiří Ing.;45;ČSSD;ČSSD;zástupce ředitele České lesnické akademie Trutnov;Janské Lázně;0;0
34;Sedláček Pavel Bc.;36;Zelení;Zelení;provozovatel rodinného penzionu, manažer v zub. o.;Náchod;0;0
35;Jakoubek Karel MUDr.;66;ČSSD;BEZPP;praktický lékař pro dospělé a internista;Rychnov nad Kněžnou;0;0
36;Pýcha Filip;45;Zelení;Zelení;písničkář, lektor volnočasových kroužků;Dvůr Králové nad Labem;0;0
37;Jungwirthová Zuzana Ing.;49;ČSSD;BEZPP;starostka České Skalice;Česká Skalice;0;0
38;Špilka Radim Mgr. Ph.D.;38;Zelení;BEZPP;učitel, expert na digitální vzdělávání;Hradec Králové;0;0
39;Netolická Zuzana;48;ČSSD;BEZPP;vrchní sestra na oddělení onkologie nemocnice RK;Rychnov nad Kněžnou;0;0
40;Kubrtová Martina;46;Zelení;BEZPP;starostka T. J. Sokol Nechanice, ekonomka;Nechanice;0;0
41;Příhoda René Mgr.;34;ČSSD;ČSSD;advokát, člen výkonného výboru KHK fotbal. svazu;Hradec Králové;0;0
42;Kulich Jiří RNDr.;59;Zelení;Zelení;ředitel střediska ekologické výchovy;Horní Maršov;0;0
43;Kraus Ivan;56;ČSSD;BEZPP;starosta Okresního sdružení hasičů Náchod;Velké Petrovice;0;0
44;Strejčková Simona Ing.;46;Zelení;Zelení;lektorka dětského vzdělávání, poradkyně, masérka;Hradec Králové;0;0
45;Šedivý Jaroslav PaedDr.;57;ČSSD;BEZPP;středoškolský učitel, zastupitel Nového Bydžova;Nový Bydžov;0;0
46;Šimerda Jakub;31;Zelení;BEZPP;starosta Bolehoště;Bolehošť;0;0
47;Janeček Vilém;27;ČSSD;ČSSD;živnostník a voják v aktivní záloze;Kvasiny;0;0
48;Hronešová Lenka Bc.;55;Zelení;BEZPP;ředitelka a lektorka střediska ekologické výchovy;Hradec Králové;0;0
49;Sedláček Radomír;61;ČSSD;ČSSD;soukromý zemědělec;Nová Paka;0;0
50;Hrudka Petr Bc.;29;Zelení;Zelení;archivář;Jaroměř;0;0
