1;Dědeček Jaromír Ing.;61;ANO;ANO;jednatel společnosti;Markvartice;0;0
2;Hantschová Ivana MVDr. Dott.ssa;52;ANO;BEZPP;veterinární lékařka;Hradec Králové;0;0
3;Koleta Petr;52;ANO;ANO;starosta města Hronov;Hronov;0;0
4;Praus Zdeněk Ing.;43;ANO;ANO;starosta městyse Častolovice;Častolovice;0;0
5;Kříž Jan Ing.;42;ANO;ANO;ředitel společnosti;Dvůr Králové nad Labem;0;0
6;Štayrová Monika Ing.;57;ANO;ANO;1. náměstkyně primátora Hradce Králové;Hradec Králové;0;0
7;Kricnarová Darina MBA;46;ANO;ANO;starostka obce Lhota pod Hořičkami;Lhota pod Hořičkami;0;0
8;Berkovcová Jana Mgr.;50;ANO;ANO;vedoucí metodik pro vzdělávání;Nové Město nad Metují;0;0
9;Jarolím Jan Ing.;46;ANO;ANO;starosta města Dvůr Králové nad Labem;Dvůr Králové nad Labem;0;0
10;Kodydek Miroslav;55;ANO;ANO;jednatel společnosti, zastupitel města Jičín;Jičín;0;0
11;Dostálová Klára Ing.;49;ANO;BEZPP;ministryně pro místní rozvoj;Hořice;0;0
12;Šandová Jana DiS.;36;ANO;ANO;radiologická asistentka;Zdelov;0;0
13;Čiháčková Blanka;68;ANO;ANO;manažerka DSO;Dobruška;0;0
14;Bárta František RNDr.;57;ANO;ANO;OSVČ;Syrovátka;0;0
15;Helbich Jan Ing.;53;ANO;ANO;místostarosta města Dvůr Králové nad Labem;Dvůr Králové nad Labem;0;0
16;Tachas Roman;51;ANO;ANO;jednatel společnosti;Jičín;0;0
17;Prokop Jiří;46;ANO;ANO;správa železnic;Náchod;0;0
18;Šrůtek Ondřej;42;ANO;ANO;OSVČ;Opočno;0;0
19;Friedlová Libuše Mgr.;58;ANO;ANO;předškolní, školní pedagog a speciální pedagog;Hradec Králové;0;0
20;Kosinka Miroslav;44;ANO;ANO;manažer kvality;Vlčkovice v Podkrkonoší;0;0
21;Pourová Věra JUDr.;62;ANO;ANO;náměstkyně primátora Hradec Králové;Hradec Králové;0;0
22;Borůvka Jan Bc.;52;ANO;ANO;tajemník senátního klubu ANO;Dolany;0;0
23;Šeda Vlastimil Ing.;54;ANO;ANO;OSVČ, radní města Kostelec nad Orlicí;Kostelec nad Orlicí;0;0
24;Malý Jan JUDr.;68;ANO;ANO;starosta města Jičín;Jičín;0;0
25;Zikl Jan Ing.;35;ANO;ANO;IT expert;Hradec Králové;0;0
26;Kaválek Josef;62;ANO;ANO;OSVČ;Hejtmánkovice;0;0
27;Kos Jiří;52;ANO;ANO;OSVČ, zastupitel města Hradec Králové;Hradec Králové;0;0
28;Franc Jindřich;73;ANO;ANO;důchodce;Vlčkovice v Podkrkonoší;0;0
29;Veyr Karel;78;ANO;ANO;důchodce;Doudleby nad Orlicí;0;0
30;Zima Jan;43;ANO;ANO;projektový manažer;Náchod;0;0
31;Marek Pavel;50;ANO;ANO;radní města Hradec Králové;Hradec Králové;0;0
32;Machačová Hana Bc. MSc.;56;ANO;ANO;ekonomka;Hradec Králové;0;0
33;Bašová Petra;26;ANO;ANO;patriotka Náchoda;Náchod;0;0
34;Stillerová Alena Mgr.;61;ANO;ANO;vzdělavatelka dospělých, zastupitelka města Jičín;Jičín;0;0
35;Kačer Štěpán;37;ANO;ANO;ředitel vzdělávacího zařízení;Náchod;0;0
36;Kobiela Petr;69;ANO;ANO;důchodce;Doudleby nad Orlicí;0;0
37;Vajcík Antonín MUDr.;56;ANO;BEZPP;lékař, primář chirurgického oddělení;Trutnov;0;0
38;Gazdík Zdeněk;52;ANO;ANO;operační důstojník dohledového centra;Převýšov;0;0
39;Kubešová Martina;43;ANO;ANO;ředitelka mateřské školy;Nové Město nad Metují;0;0
40;Lukavec Josef MUDr.;63;ANO;BEZPP;lékař;Jičín;0;0
41;Gluz Vladimír;45;ANO;ANO;ošetřovatel cizokrajných zvířat;Dvůr Králové nad Labem;0;0
42;Mašek Jiří MUDr.;62;ANO;ANO;lékař, poslanec PSP ČR;Hradec Králové;0;0
43;Sadovský Petr;51;ANO;ANO;místostarosta města Dobruška, poslanec PSP ČR;Dobruška;0;0
44;Plzák Pavel MUDr.;60;ANO;ANO;lékař chirurgického oddělení, poslanec PSP ČR;Trutnov;0;0
45;Svoboda Vít MUDr.;64;ANO;BEZPP;lékař;Jičín;0;0
46;Tipelt Robert;38;ANO;ANO;zástupce manažera prodeje;Červený Kostelec;0;0
47;Adamcová Jessica Bc.;22;ANO;ANO;studentka;Nové Město nad Metují;0;0
48;Melicharová Jana Mgr.;57;ANO;BEZPP;středoškolský pedagog;Dobruška;0;0
49;Súkup Michal Ing.;45;ANO;BEZPP;vedoucí IT oddělení;Dvůr Králové nad Labem;0;0
