1;Ondráček Zdeněk JUDr. PhDr. Ph.D.;51;KSČM;KSČM;poslanec Parlamentu České republiky;Trutnov;0;0
2;Zakouřilová Petra Bc.;46;KSČM;BEZPP;ředitelka mateřské školy;Kostelec nad Orlicí;0;0
3;Ort Václav JUDr.;68;KSČM;KSČM;místopředseda Ústředního výboru KSČM;Sobotka;0;0
4;Šormová Táňa Mgr.;64;KSČM;KSČM;učitelka;Hradec Králové;0;0
5;Marková Soňa Mgr.;57;KSČM;KSČM;expertka na zdravotnictví;Náchod;0;0
6;Štěpán Lubomír Ing.;66;KSČM;KSČM;projektant v investiční výstavbě;Hradec Králové;0;0
7;Lukášek Josef PaedDr.;68;KSČM;KSČM;místostarosta obce Bystré;Bystré;0;0
8;Kováčiková Marcela;48;KSČM;KSČM;pečovatelka;Hořice;0;0
9;Manych Jaroslav;43;KSČM;BEZPP;technik v oboru informační technologie;Náchod;0;0
10;Řezníčková Iva Mgr.;46;KSČM;BEZPP;manažerka ve zdravotnictví;Trutnov;0;0
11;Tylš Josef;35;KSČM;KSČM;dělník;Trutnov;0;0
12;Radocha Josef Mgr.;64;KSČM;BEZPP;státní zaměstnanec;Podbřezí;0;0
13;Machula Jiří;66;KSČM;KSČM;místostarosta města Kopidlno;Kopidlno;0;0
14;Falta Petr;34;KSČM;KSČM;obchodník;Hradec Králové;0;0
15;Dušek Josef;49;KSČM;BEZPP;předseda odborů KOVO Ammann Czech Republic;Náchod;0;0
16;Fejfar Petr;61;KSČM;BEZPP;mistr;Stará Paka;0;0
17;Divíšek Jaroslav;37;KSČM;KSČM;skladník;Vamberk;0;0
18;Vejnar Hynek;49;KSČM;BEZPP;vedoucí betonárny Jaroměř;Česká Skalice;0;0
19;Fialová Lenka DiS.;53;KSČM;KSČM;administrativní pracovnice;Hradec Králové;0;0
20;Vrba Jaroslav;73;KSČM;KSČM;horník;Malé Svatoňovice;0;0
21;Kopysova Lenka;44;KSČM;KSČM;prodavačka;Šárovcova Lhota;0;0
22;Janeček Jan;65;KSČM;KSČM;mechanik elektronických zařízení;Kvasiny;0;0
23;Kračmar Libor;60;KSČM;KSČM;technik;Hradec Králové;0;0
24;Fryčka Radim;71;KSČM;KSČM;důchodce;Úpice;0;0
25;Rösler Thomas;26;KSČM;BEZPP;nástrojař;Valdice;0;0
26;Berger Vladimír;31;KSČM;BEZPP;finanční poradce;Hradec Králové;0;0
27;Koudelka Zdeněk;35;KSČM;KSČM;řidič;Trutnov;0;0
28;Chrtek Pavel Václav;46;KSČM;BEZPP;zootechnik;Úbislavice;0;0
29;Forche Petr;42;KSČM;KSČM;dělník;Vamberk;0;0
30;Zvára Jiří;63;KSČM;KSČM;zemědělský technik;Česká Skalice;0;0
31;Motyčka Vladislav;68;KSČM;KSČM;dělník;Nový Bydžov;0;0
32;Cee Jiří;66;KSČM;KSČM;důchodce;Trutnov;0;0
33;Kűrthy Michal;45;KSČM;KSČM;editor;Červený Kostelec;0;0
34;Kučerová Věra Ing.;66;KSČM;KSČM;ekonomka;Solnice;0;0
35;Žoček Zdeněk;69;KSČM;KSČM;strojvedoucí;Broumov;0;0
36;Čapek Daniel;44;KSČM;KSČM;manažer telekomunikací farmaceutické firmy;Nové Město;0;0
37;Rosůlková Lenka;46;KSČM;BEZPP;operátorka;Trutnov;0;0
38;Šmatolán Václav;61;KSČM;KSČM;chovatel a cvičitel sportovních koní;Hořice;0;0
39;Marková Jitka;40;KSČM;KSČM;účetní;Týniště nad Orlicí;0;0
40;Špičák Jaroslav Ing.;59;KSČM;BEZPP;bankovní úředník;Chlumec nad Cidlinou;0;0
41;Svoboda Filip;26;KSČM;KSČM;dělník;Dvůr Králové nad Labem;0;0
42;Kalivoda Miroslav;63;KSČM;KSČM;řidič autobusu;Trnov;0;0
43;Macháček Miroslav;70;KSČM;KSČM;důchodce;Nový Bydžov;0;0
44;Koloc František JUDr.;72;KSČM;KSČM;právník;Nová Paka;0;0
45;Winzberger Ladislav DiS.;61;KSČM;KSČM;strojní zámečník;Týniště nad Orlicí;0;0
46;Bubnová Blanka;65;KSČM;KSČM;zdravotní sestra;Trutnov;0;0
47;Vaňura Jan;72;KSČM;KSČM;důchodce;Broumov;0;0
48;Žoček Jiří;68;KSČM;KSČM;důchodce;Chvalkovice;0;0
